account_length,international_plan,voice_mail_plan,number_vmail_messages,total_charge,total_calls_cnt,total_minutes,total_intl_charge,number_customer_service_calls,churn
107,no,yes,26,55.540000000000006,329,611.5,3.7,1,no
137,no,no,0,59.00000000000001,328,527.2,3.29,0,no
84,yes,no,0,65.02,248,558.1999999999999,1.78,2,no
75,yes,no,0,49.36,356,501.9,2.73,3,no
121,no,yes,24,76.28,314,779.3000000000001,2.03,3,no
147,yes,no,0,44.980000000000004,269,471.90000000000003,1.92,0,no
117,no,no,0,70.97,267,751.9000000000001,2.35,1,no
141,yes,yes,37,77.52,292,807.0,3.02,0,no
65,no,no,0,50.77,331,566.4000000000001,3.43,4,yes
74,no,no,0,54.62,369,547.1,2.46,0,no
168,no,no,0,37.17,295,374.8,3.02,1,no
95,no,no,0,56.32,278,596.5,3.32,3,no
161,no,no,0,90.83000000000001,292,811.3000000000001,1.46,4,yes
85,no,yes,27,61.28999999999999,304,566.5999999999999,3.73,1,no
76,no,yes,33,57.800000000000004,239,568.2,2.7,1,no
73,no,no,0,60.39,252,576.7,3.51,1,no
147,no,no,0,56.14,343,603.5999999999999,2.86,0,no
77,no,no,0,34.48,274,441.9,1.54,5,yes
130,no,no,0,45.49,289,437.70000000000005,2.57,0,no
111,no,no,0,38.97,310,437.3,2.08,2,no
132,no,no,0,45.3,273,563.3,2.78,0,no
57,no,yes,39,60.67,342,586.8,2.57,0,no
54,no,no,0,40.64,241,391.9,3.97,3,no
20,no,no,0,62.42,295,629.7,1.7,0,no
49,no,no,0,46.6,316,513.0999999999999,3.0,1,no
75,no,no,0,66.64999999999999,310,673.8,2.78,1,no
12,no,no,0,76.49,327,782.2,3.19,1,yes
57,no,yes,25,56.25,285,585.3,2.24,0,no
36,no,yes,30,44.5,317,438.1,3.92,0,no
78,no,no,0,51.5,288,582.3,2.7,1,no
136,yes,yes,33,55.19,312,493.2,2.84,3,no
98,no,no,0,44.099999999999994,322,480.90000000000003,2.54,3,no
135,yes,yes,41,52.26,270,499.2,3.94,0,yes
34,no,no,0,59.22999999999999,258,718.5,2.7,2,no
160,no,no,0,36.67,279,429.6,2.48,3,no
64,no,no,0,57.31,271,645.1,0.95,1,no
59,no,yes,28,46.0,305,497.0,2.3,2,no
65,no,no,0,55.800000000000004,360,508.59999999999997,3.56,3,no
142,no,no,0,54.129999999999995,334,563.8,2.0,2,no
97,no,yes,24,44.28,272,421.0,2.97,1,no
52,no,no,0,66.21,291,698.5,2.11,3,no
60,no,no,0,66.65,301,680.7,1.84,1,no
10,no,no,0,60.540000000000006,235,659.0999999999999,3.08,2,no
96,no,no,0,60.25,252,656.2,2.51,2,no
81,no,no,0,63.19,250,695.0,2.75,1,no
141,no,no,0,43.21000000000001,288,447.7,2.16,1,no
121,no,yes,30,48.279999999999994,283,454.9,1.57,3,yes
125,no,no,0,62.58,324,596.0,3.24,1,no
174,no,no,0,54.599999999999994,245,528.6,3.08,1,no
116,no,yes,34,68.28999999999999,331,613.1,3.13,2,no
149,no,yes,28,58.629999999999995,209,634.0,3.4,3,no
38,no,no,0,43.3,301,453.1,2.21,2,no
40,no,yes,41,49.220000000000006,264,531.7,1.67,2,no
43,yes,no,0,67.94999999999999,276,622.1,2.51,0,no
113,yes,no,0,44.64,351,460.90000000000003,2.24,0,no
126,no,no,0,61.31999999999999,210,582.0,2.11,1,no
150,no,no,0,51.47,311,496.6,3.73,4,yes
138,no,no,0,68.89,280,707.6,3.19,3,no
162,no,yes,46,65.69,242,667.7,3.27,0,no
147,no,no,0,62.68,277,570.0,2.16,3,no
90,no,no,0,60.709999999999994,368,582.5,1.97,1,no
85,no,no,0,61.92,302,581.2,3.24,0,no
50,no,no,0,53.849999999999994,273,561.8,1.65,1,no
82,no,no,0,78.59,282,751.4000000000001,3.16,0,yes
144,no,no,0,24.81,301,311.7,2.21,4,yes
46,no,no,0,58.36,289,556.0,2.21,2,no
70,no,no,0,52.41,276,554.0,4.05,1,no
144,no,no,0,70.07,292,728.6,3.56,1,no
116,yes,no,0,66.56,292,698.7,3.4,3,no
70,no,yes,24,74.51,267,731.9,2.65,1,no
128,no,yes,29,64.22,268,728.2,2.32,0,no
94,no,no,0,48.55,290,502.5,2.16,4,yes
111,no,no,0,62.36,292,605.2,3.24,1,no
74,no,yes,35,45.78,245,479.6,2.94,2,no
128,no,no,0,70.89,286,694.4,3.75,1,yes
82,no,no,0,45.96,260,448.4,3.0,1,no
155,no,no,0,59.63,323,590.3,2.4,0,yes
80,no,no,0,47.230000000000004,269,550.5,2.13,1,no
78,no,no,0,70.03,310,695.2,2.57,3,no
90,no,no,0,52.4,243,497.4,2.86,3,no
73,no,no,0,53.17999999999999,254,547.5,3.51,0,no
99,no,no,0,59.900000000000006,276,596.4,2.35,4,no
120,no,no,0,61.379999999999995,331,588.7,1.43,1,yes
77,no,no,0,72.67,307,732.7,2.65,2,yes
98,no,yes,21,56.050000000000004,289,573.5999999999999,1.19,4,no
108,no,no,0,52.19,315,496.4,3.94,0,no
95,no,no,0,49.6,307,563.9000000000001,3.38,1,no
122,no,no,0,54.94,278,592.8,3.05,1,no
95,no,no,0,64.94,278,615.3,3.19,4,no
36,no,yes,29,73.45,291,670.8,2.43,2,no
93,no,yes,21,43.779999999999994,332,499.4,2.65,1,no
157,no,no,0,62.5,319,619.1,2.59,3,no
120,no,no,0,60.370000000000005,269,601.4,2.24,1,no
98,no,no,0,53.85,343,579.5999999999999,3.27,4,no
125,no,no,0,50.199999999999996,312,580.5,3.59,1,no
63,no,no,0,33.94,272,439.9,2.54,1,no
36,yes,yes,42,61.35,337,590.0,5.4,0,yes
64,no,no,0,43.18000000000001,314,372.4,3.83,1,no
74,no,no,0,74.37,277,672.4,2.54,1,yes
46,no,no,0,64.05,285,637.6,3.54,1,no
41,no,yes,22,54.800000000000004,311,497.8,1.94,0,no
121,no,no,0,57.96,323,595.0,2.65,3,no
193,no,no,0,45.379999999999995,308,416.1,3.13,1,no
130,no,no,0,45.81,334,491.79999999999995,2.48,2,no
85,no,no,0,65.1,262,683.3,3.24,1,no
162,no,no,0,32.38,277,383.0,2.46,4,yes
61,no,yes,27,54.5,356,559.8,1.73,4,yes
92,no,no,0,39.93,299,460.4,2.48,2,no
90,no,no,0,49.849999999999994,329,510.1,2.94,3,no
75,no,no,0,53.269999999999996,291,581.2,1.65,1,no
78,no,no,0,70.61,375,722.8,2.57,1,no
82,no,no,0,60.42,258,607.6,1.92,4,no
163,no,no,0,60.0,317,606.0,2.46,1,no
91,yes,no,0,47.93,325,550.4000000000001,3.02,3,no
127,no,yes,36,53.77,264,573.3,3.02,1,no
113,no,yes,23,54.910000000000004,220,515.6,2.75,2,no
110,no,no,0,57.449999999999996,311,618.5,3.35,1,no
